stage_id,tutorial,publish_at,clearCount,deckCount,mapScore,clear_rate_a,clear_rate_b,clear_rate_c,original_json_file_name
CC_0001,,,6,12,695,77,21,26,Easy_obj_-3647190157396289_-3647190157396289.json
CC_0002,,,5,7,590,3,20,33,Easy_obj_-1076113912418926872_-1076113912418926872.json
CC_0003,,,6,17,655,87,29,82,Easy_obj_-1455324682596201204_-1455324682596201204.json
CC_0004,,,9,12,715,1,29,23,Easy_obj_-1810722570242081567_-1810722570242081567.json
CC_0005,,,4,9,580,76,52,55,Easy_obj_-2643330482736493896_-2643330482736493896.json
CC_0006,,,11,17,720,91,31,13,Easy_obj_-2715414846864414045_-2715414846864414045.json
CC_0007,,,4,8,725,69,10,13,Easy_obj_-3577985653752088467_-3577985653752088467.json
CC_0008,,,12,14,635,98,78,55,Easy_obj_-3591596403255544931_-3591596403255544931.json
CC_0009,,,6,12,750,0,77,44,Easy_obj_-3819987064685043330_-3819987064685043330.json
CC_0010,,,17,20,570,98,40,39,Easy_obj_-3944058996604576779_-3944058996604576779.json
CC_0011,,,3,4,665,33,0,5,Easy_obj_-4953815571765751100_-4953815571765751100.json
CC_0012,,,4,12,675,91,87,54,Easy_obj_-5073861940589237549_-5073861940589237549.json
CC_0013,,,8,13,750,92,19,14,Easy_obj_-5161379865128801438_-5161379865128801438.json
CC_0014,,,6,18,700,92,18,83,Easy_obj_-5589298110739892495_-5589298110739892495.json
CC_0015,,,8,9,640,72,14,12,Easy_obj_-6253912204719183690_-6253912204719183690.json
CC_0016,,,8,10,680,73,7,12,Easy_obj_-6424753012134154627_-6424753012134154627.json
CC_0017,,,6,8,680,65,5,9,Easy_obj_-6845371592253495967_-6845371592253495967.json
CC_0018,,,4,5,685,11,3,8,Easy_obj_-9170708446745828065_-9170708446745828065.json
CC_0019,,,6,10,800,0,6,5,Easy_obj_751063068300008722_751063068300008722.json
CC_0020,,,9,11,755,87,3,8,Easy_obj_920385332275007299_920385332275007299.json
CC_0021,,,6,10,710,0,40,28,Easy_obj_1970069471253374735_1970069471253374735.json
CC_0022,,,6,18,740,1,93,97,Easy_obj_2641590008734069844_2641590008734069844.json
CC_0023,,,7,11,640,80,59,54,Easy_obj_2999475820408056107_2999475820408056107.json
CC_0024,,,8,13,780,92,12,6,Easy_obj_3228166633449498999_3228166633449498999.json
CC_0025,,,8,15,480,7,100,97,Easy_obj_3831311201260693714_3831311201260693714.json
CC_0026,,,7,20,775,95,87,93,Easy_obj_4100481430150713381_4100481430150713381.json
CC_0027,,,5,6,740,58,8,9,Easy_obj_4128039804169441458_4128039804169441458.json
CC_0028,,,9,18,540,93,65,72,Easy_obj_5149501888700634090_5149501888700634090.json
CC_0029,,,6,18,700,94,41,97,Easy_obj_5703880006509274347_5703880006509274347.json
CC_0030,,,6,11,500,81,45,37,Easy_obj_5864214069911349506_5864214069911349506.json
CC_0031,,,9,11,635,84,73,64,Easy_obj_5882459344506049951_5882459344506049951.json
CC_0032,,,6,18,725,79,19,84,Easy_obj_8221025276977201725_8221025276977201725.json
CC_0033,,,6,18,870,99,65,84,Hard_obj_-785890137091345071_-785890137091345071.json
CC_0034,,,8,10,635,100,27,32,Hard_obj_-1050926213919930615_-1050926213919930615.json
CC_0035,,,5,7,865,0,0,0,Hard_obj_-1332633171192187576_-1332633171192187576.json
CC_0036,,,7,8,850,69,1,0,Hard_obj_-3296646830239392735_-3296646830239392735.json
CC_0037,,,6,12,840,94,19,7,Hard_obj_-3856468907512424979_-3856468907512424979.json
CC_0038,,,10,16,880,99,7,5,Hard_obj_-8120975917250142898_-8120975917250142898.json
CC_0039,,,15,20,850,100,51,80,Hard_obj_2330540525633691184_2330540525633691184.json
CC_0040,,,10,12,850,86,4,3,Hard_obj_3359506121471540383_3359506121471540383.json
CC_0041,,,10,12,850,13,8,1,Hard_obj_4272034842868052269_4272034842868052269.json
CC_0042,,,6,11,895,73,3,0,Hard_obj_5692771625035672355_5692771625035672355.json
CC_0043,,,8,16,795,90,8,47,Normal_obj_-130971407812354464_-130971407812354464.json
CC_0044,,,7,9,865,75,3,5,Normal_obj_-932844075722344055_-932844075722344055.json
CC_0045,,,5,7,755,66,1,2,Normal_obj_-949791933841341856_-949791933841341856.json
CC_0046,,,16,20,850,0,11,28,Normal_obj_-980244589156319485_-980244589156319485.json
CC_0047,,,6,10,700,79,51,29,Normal_obj_-1694522488346835017_-1694522488346835017.json
CC_0048,,,7,11,825,81,2,2,Normal_obj_-4408209718460425266_-4408209718460425266.json
CC_0049,,,5,10,785,49,5,6,Normal_obj_-4683521763437329335_-4683521763437329335.json
CC_0050,,,8,13,815,88,12,6,Normal_obj_-4992867742494819935_-4992867742494819935.json
CC_0051,,,6,10,845,83,10,8,Normal_obj_-5087021377552378296_-5087021377552378296.json
CC_0052,,,6,10,820,80,3,2,Normal_obj_-5211771057615581944_-5211771057615581944.json
CC_0053,,,8,9,730,77,1,3,Normal_obj_-7176918319392520164_-7176918319392520164.json
CC_0054,,,8,13,840,89,2,1,Normal_obj_-7603367527683710301_-7603367527683710301.json
CC_0055,,,7,11,805,88,32,13,Normal_obj_738882395438707847_738882395438707847.json
CC_0056,,,4,8,850,74,80,32,Normal_obj_1831427186976436287_1831427186976436287.json
CC_0057,,,8,12,800,89,13,13,Normal_obj_3769052602463786627_3769052602463786627.json
CC_0058,,,17,23,800,100,57,79,Normal_obj_3867808652033317403_3867808652033317403.json
CC_0059,,,6,10,815,81,38,13,Normal_obj_4212339151940259261_4212339151940259261.json
CC_0060,,,9,14,780,94,20,8,Normal_obj_4229540007875167400_4229540007875167400.json
CC_0061,,,9,11,735,100,44,42,Normal_obj_5804309417974679092_5804309417974679092.json
CC_0062,,,5,8,510,69,5,6,Normal_obj_5840205091478623467_5840205091478623467.json
CC_0063,,,14,18,780,96,14,17,Normal_obj_6000994190887629578_6000994190887629578.json
CC_0064,,,6,10,800,80,16,11,Normal_obj_6115397501473313561_6115397501473313561.json
CC_0065,,,5,7,830,69,1,0,Normal_obj_6590097658921723082_6590097658921723082.json
CC_0066,,,9,14,845,1,13,5,Normal_obj_7411368510475286072_7411368510475286072.json
CC_0067,,,8,12,830,18,10,4,Normal_obj_7498578966834877293_7498578966834877293.json
CC_0068,,,5,10,855,88,8,2,Normal_obj_8531102714590821791_8531102714590821791.json
CC_0069,,,4,8,490,71,77,71,VeryEasy_obj_-320157688675798089_-320157688675798089.json
CC_0070,,,6,10,600,0,17,9,VeryEasy_obj_-382603128639682813_-382603128639682813.json
CC_0071,,,5,14,560,83,43,17,VeryEasy_obj_-687287670247338197_-687287670247338197.json
CC_0072,,,6,11,510,86,77,61,VeryEasy_obj_-1054331589447805906_-1054331589447805906.json
CC_0073,,,6,13,535,86,90,68,VeryEasy_obj_-1470323015904512967_-1470323015904512967.json
CC_0074,,,5,13,590,91,87,59,VeryEasy_obj_-3360825912045156182_-3360825912045156182.json
CC_0075,,,6,17,790,94,37,85,VeryEasy_obj_-3497900895194738745_-3497900895194738745.json
CC_0076,,,6,17,560,97,82,74,VeryEasy_obj_-3534925251702251949_-3534925251702251949.json
CC_0077,,,4,11,600,82,82,51,VeryEasy_obj_-3575373209298258023_-3575373209298258023.json
CC_0078,,,6,10,520,75,42,32,VeryEasy_obj_-4155513570435425491_-4155513570435425491.json
CC_0079,,,10,19,635,95,35,85,VeryEasy_obj_-4759351362199196674_-4759351362199196674.json
CC_0080,,,6,10,600,54,20,10,VeryEasy_obj_-5102147924503598752_-5102147924503598752.json
CC_0081,,,8,9,590,0,27,32,VeryEasy_obj_-5421982700066424561_-5421982700066424561.json
CC_0082,,,9,11,600,79,5,6,VeryEasy_obj_-8164572472214929778_-8164572472214929778.json
CC_0083,,,7,11,535,2,43,37,VeryEasy_obj_-8321652389359356342_-8321652389359356342.json
CC_0084,,,6,10,580,80,34,26,VeryEasy_obj_-8696186041147435442_-8696186041147435442.json
CC_0085,,,6,12,580,87,46,42,VeryEasy_obj_1068714052641562867_1068714052641562867.json
CC_0086,,,5,7,600,62,14,11,VeryEasy_obj_1505846800031349250_1505846800031349250.json
CC_0087,,,7,11,535,80,50,38,VeryEasy_obj_1560882228172329847_1560882228172329847.json
CC_0088,,,6,10,580,80,38,33,VeryEasy_obj_2060970891380495084_2060970891380495084.json
CC_0089,,,10,15,595,5,31,17,VeryEasy_obj_2406463454516795606_2406463454516795606.json
CC_0090,,,4,8,540,24,41,35,VeryEasy_obj_2762148058397108396_2762148058397108396.json
