stage_id,tutorial,publish_at,clearCount,deckCount,mapScore,clear_rate_a,clear_rate_b,clear_rate_c,original_json_file_name
TEST_0019,,,11,15,860,0,9,6,Hard_obj_-5984099042170009854_-5984099042170009854.json
TEST_0020,,,6,10,855,1,3,9,Hard_obj_-6248004735046090418_-6248004735046090418.json
TEST_0021,,,7,14,830,97,14,38,Hard_obj_-8281100645185762737_-8281100645185762737.json
TEST_0022,,,21,25,900,10,14,31,Hard_obj_-8517030858424747727_-8517030858424747727.json
TEST_0023,,,5,7,780,71,20,12,Hard_obj_-8885797685741094950_-8885797685741094950.json
TEST_0024,,,8,12,825,13,5,2,Hard_obj_85521440074598537_85521440074598537.json
TEST_0025,,,6,9,840,81,0,0,Hard_obj_486133091288967780_486133091288967780.json
TEST_0026,,,11,15,870,1,35,17,Hard_obj_806030527335843981_806030527335843981.json
TEST_0027,,,11,15,875,6,18,21,Hard_obj_2408438036868712511_2408438036868712511.json
TEST_0028,,,9,11,825,86,5,8,Hard_obj_3179349629198657620_3179349629198657620.json
TEST_0029,,,12,16,715,0,97,100,Hard_obj_3584301113737044697_3584301113737044697.json
TEST_0030,,,5,10,870,81,1,1,Hard_obj_3755135558057497799_3755135558057497799.json
TEST_0031,,,5,10,830,80,11,2,Hard_obj_3873439367002850131_3873439367002850131.json
TEST_0032,,,12,18,825,98,8,24,Hard_obj_7351030512159627047_7351030512159627047.json
TEST_0033,,,6,10,900,2,11,4,Hard_obj_9123945858537713509_9123945858537713509.json
TEST_0034,,,10,12,790,87,44,48,Normal_obj_-3348424911988716843_-3348424911988716843.json
TEST_0035,,,8,15,700,100,17,6,Normal_obj_-5331690557052410357_-5331690557052410357.json
TEST_0036,,,10,16,845,80,6,6,Normal_obj_-5771550699346223769_-5771550699346223769.json
TEST_0037,,,21,25,820,0,7,31,Normal_obj_-6492892426059158367_-6492892426059158367.json
TEST_0038,,,6,10,760,80,19,18,Normal_obj_-7868252549869629404_-7868252549869629404.json
TEST_0039,,,12,14,765,89,14,9,Normal_obj_-7938928874621346882_-7938928874621346882.json
TEST_0040,,,15,18,710,96,10,8,Normal_obj_237373707073392183_237373707073392183.json
TEST_0041,,,7,11,800,1,16,10,Normal_obj_256669565088775011_256669565088775011.json
TEST_0042,,,8,9,830,4,5,6,Normal_obj_745489542634689294_745489542634689294.json
TEST_0043,,,8,12,775,87,3,0,Normal_obj_4340360369422650724_4340360369422650724.json
TEST_0044,,,12,18,755,100,22,52,Normal_obj_4635716656955527078_4635716656955527078.json
TEST_0045,,,5,8,770,74,5,1,Normal_obj_7774593388949401005_7774593388949401005.json
TEST_0046,,,8,10,525,76,45,37,VeryEasy_obj_-719684945223550809_-719684945223550809.json
TEST_0047,,,5,7,600,60,3,6,VeryEasy_obj_-2222322857045001677_-2222322857045001677.json
TEST_0048,,,6,12,510,89,62,49,VeryEasy_obj_-3921753922571710963_-3921753922571710963.json
TEST_0049,,,5,10,580,75,41,52,VeryEasy_obj_-5345032062141459576_-5345032062141459576.json
TEST_0050,,,5,10,540,10,77,49,VeryEasy_obj_-5709547123116516896_-5709547123116516896.json
TEST_0051,,,6,12,565,84,78,46,VeryEasy_obj_-6808099704547822035_-6808099704547822035.json
TEST_0052,,,5,7,555,72,9,16,VeryEasy_obj_-7188497151986026299_-7188497151986026299.json
TEST_0053,,,6,7,600,72,3,2,VeryEasy_obj_-8117559261532172342_-8117559261532172342.json
TEST_0054,,,6,12,520,90,96,88,VeryEasy_obj_111120607594966716_111120607594966716.json
TEST_0055,,,6,8,550,74,13,14,VeryEasy_obj_414914298942924381_414914298942924381.json
TEST_0056,,,6,12,560,84,81,59,VeryEasy_obj_905238159953352977_905238159953352977.json
TEST_0057,,,12,18,580,97,71,46,VeryEasy_obj_1168576093885724370_1168576093885724370.json
TEST_0058,,,10,16,620,92,27,14,VeryEasy_obj_2801472864216320875_2801472864216320875.json
TEST_0059,,,8,15,600,2,81,56,VeryEasy_obj_2978275414266684047_2978275414266684047.json
TEST_0060,,,3,5,490,51,8,11,VeryEasy_obj_3488898479371022898_3488898479371022898.json
TEST_0061,,,9,14,610,0,68,55,VeryEasy_obj_4101217923385765900_4101217923385765900.json
TEST_0062,,,7,11,530,88,29,24,VeryEasy_obj_4602516121298095924_4602516121298095924.json
TEST_0063,,,6,9,640,3,24,11,VeryEasy_obj_5596807714652558704_5596807714652558704.json
TEST_0064,,,2,5,640,45,53,41,VeryEasy_obj_7917764440736985682_7917764440736985682.json
TEST_0065,,,9,12,935,0,9,5,VeryHard_obj_-692334883809836723_-692334883809836723.json
TEST_0066,,,5,8,895,72,2,0,VeryHard_obj_-2880771458923698273_-2880771458923698273.json
TEST_0067,,,6,10,930,87,4,1,VeryHard_obj_-3019424354214789016_-3019424354214789016.json
TEST_0068,,,4,6,835,49,0,0,VeryHard_obj_-4389036727600749839_-4389036727600749839.json
TEST_0069,,,5,8,850,69,1,3,VeryHard_obj_-5415827123151346806_-5415827123151346806.json
TEST_0070,,,4,6,925,44,0,0,VeryHard_obj_1630971585927608568_1630971585927608568.json
TEST_0071,,,7,11,1015,82,0,0,VeryHard_obj_1783901564503219630_1783901564503219630.json
TEST_0072,,,21,25,990,1,35,51,VeryHard_obj_2444560412238128887_2444560412238128887.json
TEST_0073,,,8,10,955,78,1,0,VeryHard_obj_3001411886000822535_3001411886000822535.json
TEST_0074,,,3,5,850,56,0,0,VeryHard_obj_4446906223968677042_4446906223968677042.json
TEST_0075,,,6,10,1020,77,0,0,VeryHard_obj_4704475205676732409_4704475205676732409.json
TEST_0076,,,6,10,1055,81,0,0,VeryHard_obj_4854353660138624812_4854353660138624812.json
TEST_0077,,,7,14,920,91,2,15,VeryHard_obj_4944398389532845097_4944398389532845097.json
TEST_0078,,,18,22,970,7,18,22,VeryHard_obj_6325844584784694169_6325844584784694169.json
TEST_0079,,,6,12,930,92,0,7,VeryHard_obj_6578631302362356618_6578631302362356618.json
